imagelink,imagelink-href,title,artist,country,height,width,price,views,favorites,subject,mediums,date
"Autumn landscape","https://www.saatchiart.com/art/Painting-Autumn-landscape/781213/2485194/view","Autumn landscape","Irina Afonskaya","Bulgaria","11","16","190","386","10","Seasons","Watercolor","968457600000"
"Creating Reality","https://www.saatchiart.com/art/Painting-Creating-Reality/693154/3422148/view","Creating Reality","Kerri Blackman","United States","12","12","135","251","18","Abstract","Acrylic, Graphite, Pastel, Watercolor crayon, Colored pencil","1483228800000"
"Tree Tops","https://www.saatchiart.com/art/Painting-Tree-Tops/790115/2759687/view","Tree Tops","Candice Chovanec","United States","8","10","240","554","15","Tree","Oil","1440979200000"
"Birds XLIII","https://www.saatchiart.com/art/Painting-Birds-XLIII/716816/3543630/view","Birds XLIII","Maria Iciak","Poland","9","12","250","18","0","Animal","Watercolor","1483228800000"
"Where I'm Headed No. 5","https://www.saatchiart.com/art/Painting-Where-I-m-Headed-No-5/672415/3195353/view","Where I'm Headed No. 5","Melanie Biehle","United States","12","9","265","341","15","Abstract","Oil","1451606400000"
"Morning Rhapsody","https://www.saatchiart.com/art/Painting-Morning-Rhapsody/796149/2931570/view","Morning Rhapsody","Beta Sudnikowicz","Poland","13","18","285","774","42","Landscape","Watercolor, Ink","1459900800000"
"Inside landcsape","https://www.saatchiart.com/art/Painting-Inside-landcsape/880569/3217594/view","Inside landcsape","Sejben Lajos","Hungary","8","12","295","209","12","Landscape","Oil","1451606400000"
"Betta Splendens II","https://www.saatchiart.com/art/Painting-Betta-Splendens-II/409328/3429214/view","Betta Splendens II","Claire Rees-Jones","United Kingdom","12","12","250","85","8","Fish","oil, Acrylic","1483228800000"
"Tied","https://www.saatchiart.com/art/Painting-Tied/792144/3363607/view","Tied","Elyce Abrams","United States","12","12","290","248","7","Geometric","Acrylic, Spray Paint","1483228800000"
"Tags","https://www.saatchiart.com/art/Painting-Tags/10411/2249451/view","Tags","Simon Hopkinson","United Kingdom","19","27","330","1717","15","Graffiti","Acrylic","1388534400000"
"sunset landscape "" paisaje en el ocaso ""","https://www.saatchiart.com/art/Painting-sunset-landscape-paisaje-en-el-ocaso/845056/2779730/view","sunset landscape "" paisaje en el ocaso ""","fernando ferrer","Spain","9","9","205","330","28","Landscape","Oil","1449619200000"
"Bloom Drops","https://www.saatchiart.com/art/Painting-Bloom-Drops/404232/2892313/view","Bloom Drops","Nicole Fossi","United States","24","20","270","300","13","Floral","Oil","1451606400000"
"Modesty #2","https://www.saatchiart.com/art/Painting-Modesty-2/313699/2741138/view","Modesty #2","Frederic Belaubre","France","16","11","225","1022","13","Nude","Acrylic","1449792000000"
"Flowering","https://www.saatchiart.com/art/Painting-Flowering/788456/2494202/view","Flowering","Tiago Barzana","","12","9","290","448","18","Nature","Oil","1429574400000"
"Juicy melon. Still life, 25x25cm","https://www.saatchiart.com/art/Painting-Juicy-melon-Still-life-25x25cm/770124/3493406/view","Juicy melon. Still life, 25x25cm","Vita Schagen","Netherlands","9","9","205","54","5","Food","Oil","1451606400000"
"GeoFlora 13","https://www.saatchiart.com/art/Painting-GeoFlora-13/8619/2705324/view","GeoFlora 13","Lisa Carney","Canada","8","8","240","1237","30","Floral","Acrylic","1388534400000"
"weekend ends","https://www.saatchiart.com/art/Painting-weekend-ends/715399/3435973/view","weekend ends","Izabella Hornung","United Kingdom","12","10","280","90","8","Body","Acrylic","1483228800000"
"snow forest","https://www.saatchiart.com/art/Painting-snow-forest/742309/2275115/view","snow forest","Angie Spencer","United Kingdom","9","11","260","1088","64","Landscape","oil","1388534400000"
"Moving Mountains VI","https://www.saatchiart.com/art/Painting-Moving-Mountains-VI/553920/3119845/view","Moving Mountains VI","Gianna D","United States","6","6","160","206","8","Landscape","Oil","1451606400000"
"Anouk","https://www.saatchiart.com/art/Painting-Anouk/314982/2455585/view","Anouk","Fiona Maclean","Australia","11","8","270","1765","30","Women","Acrylic, Gouache","1420070400000"
"In the Afternoon","https://www.saatchiart.com/art/Painting-In-the-Afternoon/13486/3388958/view","In the Afternoon","Jiaur Rahman","India","11","14","215","156","20","Landscape","Watercolor","1199145600000"
"this special little blue","https://www.saatchiart.com/art/Painting-this-special-little-blue/677971/3327439/view","this special little blue","Gesa Reuter","Germany","8","8","240","215","11","Abstract","Gouache, Watercolor, Graphite","1451606400000"
"Everything a Selfie","https://www.saatchiart.com/art/Painting-Everything-a-Selfie/223797/2519900/view","Everything a Selfie","Theo Bunce","Taiwan","5","8","195","492","16","Portrait","Oil Paint, Ink","1426636800000"
"Summer Fling","https://www.saatchiart.com/art/Painting-Summer-Fling/867774/3108886/view","Summer Fling","Shellie Garber","United States","24","18","240","892","21","Abstract","Acrylic","1451433600000"
"Searching for the Abstract","https://www.saatchiart.com/art/Painting-Searching-for-the-Abstract/426258/2686224/view","Searching for the Abstract","Laurie Foote","Canada","14","11","290","563","27","Still Life","oil","1439942400000"
"THIS WILL COME","https://www.saatchiart.com/art/Painting-THIS-WILL-COME/6147/3311024/view","THIS WILL COME","Philip Alsican","France","11","8","215","266","5","Abstract","Acrylic, Pastel, Conte","1451606400000"
"Watercolour XL","https://www.saatchiart.com/art/Painting-Watercolour-XL/418245/3464410/view","Watercolour XL","Shelley Morrow","United Kingdom","13","9","215","51","1","Nude","Watercolor","1483228800000"
"The Silence! #2","https://www.saatchiart.com/art/Painting-The-Silence-2/669812/3197030/view","The Silence! #2","Badri Valian","United States","24","18","290","238","15","Body","Acrylic, Chalk, Charcoal","1451606400000"
"Lakeside","https://www.saatchiart.com/art/Painting-Lakeside/321546/2304248/view","Lakeside","Alina Cristina Marin","","9","11","195","717","23","Landscape","Acrylic","1418342400000"
"Sweet Red Onion","https://www.saatchiart.com/art/Painting-Sweet-Red-Onion/712243/2315514/view","Sweet Red Onion","Eric Buchmann","United States","10","8","185","1135","55","Still Life","Oil","1411689600000"
"Calming Sensation","https://www.saatchiart.com/art/Painting-Calming-Sensation/910771/3246466/view","Calming Sensation","Anahid Minatsaghanian","United States","10","8","294","286","16","Landscape","Acrylic, Gesso, Color, Paint","1451606400000"
"Apple 2","https://www.saatchiart.com/art/Painting-Apple-2/837550/2749048/view","Apple 2","Gorszky Roxána","Hungary","5","7","135","2410","22","Still Life","Watercolor","1262304000000"
"[Day20 of 100]","https://www.saatchiart.com/art/Painting-Day20-of-100/724048/3300643/view","[Day20 of 100]","Haoyun Erin Zhao","United States","6","6","135","248","22","Abstract","Watercolor","1451606400000"
"Point of Convergence","https://www.saatchiart.com/art/Painting-Point-of-Convergence/716835/2579938/view","Point of Convergence","scott docherty","United Kingdom","8","6","240","1080","46","Portrait","Oil","1435795200000"
"her marionette","https://www.saatchiart.com/art/Painting-her-marionette/979490/3519553/view","her marionette","Valérie JAYAT","France","8","6","290","35","6","Humor","Oil, Acrylic, Ink, Gesso","1483228800000"
"Sunrise","https://www.saatchiart.com/art/Painting-Sunrise/736550/3459464/view","Sunrise","Anastasia Salo","Ukraine","11","15","190","35","4","Abstract","Oil","1483228800000"
"Secret Garden","https://www.saatchiart.com/art/Painting-Secret-Garden/867774/3110775/view","Secret Garden","Shellie Garber","United States","24","18","240","1001","30","Abstract","Acrylic","1419811200000"
"shadow cat","https://www.saatchiart.com/art/Painting-shadow-cat/767851/3235708/view","shadow cat","pechane sumie","France","15","11","205","213","7","Cats","Ink","1451606400000"
"Maria","https://www.saatchiart.com/art/Painting-Maria/799961/2638094/view","Maria","Mariana Malheiro","Portugal","11","9","275","344","20","Women","Acrylic, Oil","1413763200000"
"Bottled in Green","https://www.saatchiart.com/art/Painting-Bottled-in-Green/301241/2696636/view","Bottled in Green","Kunstbetrieb Alujevic","Germany","11","8","190","850","29","Still Life","Watercolor","1446768000000"
"Photo#1","https://www.saatchiart.com/art/Painting-Photo-1/661446/2786805/view","Photo#1","Tran Minh Tuan","United States","22","11","290","289","8","Fantasy","Gouache, Acrylic","1450396800000"
"Bristling Blue","https://www.saatchiart.com/art/Painting-Bristling-Blue/342358/3333788/view","Bristling Blue","Autumn Rose","United States","12","12","204","424","13","Floral","Acrylic","1451606400000"
"Inside Out","https://www.saatchiart.com/art/Painting-Inside-Out/939044/3404917/view","Inside Out","jen herling","United States","8","8","290","53","7","Portrait","Acrylic, Paper","1451606400000"
"Afraid to Fly","https://www.saatchiart.com/art/Painting-Afraid-to-Fly/209768/2793915/view","Afraid to Fly","Lorette C Luzajic","Canada","12","16","215","776","25","Abstract","Acrylic, Spray Paint, Paper, Ink, Gouache","1452384000000"
"aloe by the sea","https://www.saatchiart.com/art/Painting-aloe-by-the-sea/816892/3470902/view","aloe by the sea","susan knight","South Africa","27","30","420","63","8","Landscape","Acrylic","1420070400000"
"Morning Commute 1","https://www.saatchiart.com/art/Painting-Morning-Commute-1/947646/3481580/view","Morning Commute 1","Jodie Sutton","United States","10","10","220","67","4","Landscape","Encaustic","1483228800000"
"Near the Ocean","https://www.saatchiart.com/art/Painting-Near-the-Ocean/419592/3248768/view","Near the Ocean","Ursula E Rettich","Canada","11","14","190","178","10","Seascape","Acrylic, Gesso","1420070400000"
"landscape Series #1","https://www.saatchiart.com/art/Painting-landscape-Series-1/952731/3475275/view","landscape Series #1","Jasmine Noh","Canada","20","16","160","40","2","Landscape","Oil","1483228800000"
"Tropical Garden","https://www.saatchiart.com/art/Painting-Tropical-Garden/820906/2759170/view","Tropical Garden","Isabelle Ferron Marchand","Canada","8","8","135","432","13","Abstract","Acrylic, Ink","1420070400000"
"Barn","https://www.saatchiart.com/art/Painting-Barn/83464/2442867/view","Barn","Anne Herrero","United States","11","14","295","763","32","Home","Oil","1422748800000"
"Totterdown At Sunset two","https://www.saatchiart.com/art/Painting-Totterdown-At-Sunset-two/10411/2180247/view","Totterdown At Sunset two","Simon Hopkinson","United Kingdom","15","15","290","1870","12","Places","Acrylic","1388534400000"
"I'm still alive II","https://www.saatchiart.com/art/Painting-I-m-still-alive-II/879674/3532442/view","I'm still alive II","Miloš Hronec","Slovakia","17","13","225","41","6","Portrait","Acrylic, Oil, Marker, Pencil, Spray Paint","1483228800000"
"Expolio","https://www.saatchiart.com/art/Painting-Expolio/949546/3530165/view","Expolio","Scott Cirlin","United States","24","24","310","13","3","Abstract","Acrylic","1483228800000"
"""Corner of Church Ave. Rock Wall""","https://www.saatchiart.com/art/Painting-Corner-of-Church-Ave-Rock-Wall/329921/2491455/view","""Corner of Church Ave. Rock Wall""","Allen Jones","United States","8","10","240","805","21","Cities","Oil","1433116800000"
"On a swing 1","https://www.saatchiart.com/art/Painting-On-a-swing-1/785987/2457822/view","On a swing 1","Elżbieta Kisiel-Gładkowska","Poland","11","11","200","599","33","Women","Watercolor, Ink","1399420800000"
"Winter Nest","https://www.saatchiart.com/art/Painting-Winter-Nest/763620/2333417/view","Winter Nest","Natasha Henderson","Canada","8","8","265","415","6","Cats","Oil","1420761600000"
"Found: Starling","https://www.saatchiart.com/art/Painting-Found-Starling/833929/3496180/view","Found: Starling","Elizabeth Becker","United States","8","10","220","44","5","Nature","Watercolor, Graphite","1483228800000"
"April Showers","https://www.saatchiart.com/art/Painting-April-Showers/867774/3527613/view","April Showers","Shellie Garber","United States","24","18","310","71","5","Abstract","Acrylic","1491436800000"
"design1NN 16x20","https://www.saatchiart.com/art/Painting-design1NN-16x20/798571/2705386/view","design1NN 16x20","Ron Halfant","United States","20","16","282","815","25","Abstract","Acrylic","1420070400000"
"Cows in a Meadow, original oil painting in handmade, one of a kind, Artist: Karen Darbinyan","https://www.saatchiart.com/art/Painting-Cows-in-a-Meadow-original-oil-painting-in-handmade-one-of-a-kind-Artist-Karen-Darbinyan/889704/3328115/view","Cows in a Meadow, original oil painting in handmade, one of a kind, Artist: Karen Darbinyan","Vayer Art","United States","11","14","270","298","15","Cows","Oil","1451606400000"
"4115  Desembocadura en la Camargue","https://www.saatchiart.com/art/Painting-4115-Desembocadura-en-la-Camargue/743547/3058062/view","4115  Desembocadura en la Camargue","Andres Vivo","Uruguay","9","13","250","521","20","Seascape","Oil","1451606400000"
"Coming Down the Hill","https://www.saatchiart.com/art/Painting-Coming-Down-the-Hill/781262/3485674/view","Coming Down the Hill","Sheila Chapman","United Kingdom","7","7","190","115","10","Nature","Acrylic, Oil","1451606400000"
"woman with raven","https://www.saatchiart.com/art/Painting-woman-with-raven/43688/2433801/view","woman with raven","Daisy Clarke","United Kingdom","11","7","290","835","17","Women","Gouache","1425340800000"
"///21","https://www.saatchiart.com/art/Painting-21/392396/2754867/view","///21","sonya shmyk","Russia","8","5","240","533","4","Travel","Watercolor","1448928000000"
"Dawn in the mountains","https://www.saatchiart.com/art/Painting-Dawn-in-the-mountains/974814/3489170/view","Dawn in the mountains","Natalya Ratkova","Ukraine","19","27","330","55","2","Nature","Oil","1451606400000"
"Past Fun","https://www.saatchiart.com/art/Painting-Past-Fun/301241/3079049/view","Past Fun","Kunstbetrieb Alujevic","Germany","11","8","195","498","9","Boat","Watercolor, Pastel","1451606400000"
"Brown M","https://www.saatchiart.com/art/Painting-Brown-M/870783/2970401/view","Brown M","Ulugbek Doschanov","Russia","33","23","175","580","25","Abstract","Acrylic","1451606400000"
"Fish with Oyster shells","https://www.saatchiart.com/art/Painting-Fish-with-Oyster-shells/590633/3142550/view","Fish with Oyster shells","Tess Gray","United Kingdom","12","15","241","130","11","Food","Oil","1451606400000"
"Dancing Red","https://www.saatchiart.com/art/Painting-Dancing-Red/892000/3041388/view","Dancing Red","Laura Galvagno","Japan","26","18","330","236","14","Abstract","Gouache, Acrylic","1451606400000"
